answer_re,answer_re_n
Bloomberg is a great place to work...if you're in the right department,"great, place"
Great work environment. Great boss,work
Potential to be more dominant than it already is.,
You will be learning new things,
relatively good compensation compared to others,compensation
Development and company culture. Work and life balance.,company
Fast moving You will learn at your own pace,
"Good pantry, good health insurance","insurance, health"
Pay/benefits are great. The company is innovative and well-funded. The culture of philanthropy makes it worthwhile to go to work.,"company, culture"
The benefits and unlimited snacks Free Health care Competitive k,"snacks, benefits"
An AMEX with unlimited spend on business trips - which they will make you do a lot of unless you are on the helpdesk or get one of the coveted London based roles which are like gold dust,
If you're interested in current affairs/ news and technology you can go in-depth and learn a lot. The job gives as much as you're willing to take from it; it's a fast-past and stimulating place to work.,place
